Term,Definition,Source
eyedropper,A tool that enables a user to sample the color of any pixel on a screen,https://damanhour.edu.eg/
EZ Answer,A Ticket deflection feature that automatically performs a,https://damanhour.edu.eg/
Knowledgebase search using text from specific Fields on the Ticket submission form.F,,https://damanhour.edu.eg/
F Sharp,"A strongly typed, multi-paradigm programming language that",https://damanhour.edu.eg/
F# Tools for Visual Studio Express 2013 for Web,"The tools related to F#, which is",https://damanhour.edu.eg/
F12 Developer Tools,Web development tools that are accessible in Internet,https://damanhour.edu.eg/
fabric,"In VMM, the infrastructure resources (for example, virtual machine hosts,",https://damanhour.edu.eg/
fabric controller,The service that acts as the kernel of the Microsoft Azure,https://damanhour.edu.eg/
face,"A set of characters that share common characteristics, such as stroke width and",https://damanhour.edu.eg/
face down,An orientation of printed paper where the printed side is against a,https://damanhour.edu.eg/
face recognition,A biometric technique that uses the geometry of a person’s face to,https://damanhour.edu.eg/
face scanner,A biometric sensor that analyses data points on your face to recognize,https://damanhour.edu.eg/
face up,An orientation of printed paper where the printed side is away from a,https://damanhour.edu.eg/
face value,"The stated value that is displayed on the face of a monetary unit, such as a",https://damanhour.edu.eg/
Facebook post,"A text message that can contain a link to multimedia content, that",https://damanhour.edu.eg/
of the online social-networking service named Facebook.facet,A set of logical pre-defined properties that model the behavior or,https://damanhour.edu.eg/
Facet,A set of logical pre-defined properties that model the behavior or,https://damanhour.edu.eg/
facet,"A constraint, such as Nullable, MaxLength, or Precision, that limits the",https://damanhour.edu.eg/
facet property,A predefined property that applies to a specific facet in Policy-Based,https://damanhour.edu.eg/
faceted navigation,The process of refining a search for information by filtering on,https://damanhour.edu.eg/
facility,"A physical space, such as a room or hall, where a service activity can be",https://damanhour.edu.eg/
facility field,One of four fields of an SCODE that indicates the system service,https://damanhour.edu.eg/
fact,"User data to which rule conditions are applied. At design time, a fact is a",https://damanhour.edu.eg/
fact base,A collection of facts against which rule conditions are evaluated.,https://damanhour.edu.eg/
fact data,Measures of facts that exist in context with one or more dimensions. A fact,https://damanhour.edu.eg/
fact dimension,A relationship between a dimension and a measure group in which,https://damanhour.edu.eg/
Fact pane,A feature in the Desktop Viewer that displays the comments in a report,https://damanhour.edu.eg/
fact retriever,A component that implements an IFactRetriever interface to retrieve,https://damanhour.edu.eg/
fact store,"The database that stores information, including role and attributes, about",https://damanhour.edu.eg/
fact store manager,The component that retrieves the fact information from the,https://damanhour.edu.eg/
fact table,A central table in a data warehouse schema that contains numerical,https://damanhour.edu.eg/
FactBox,A UI part on the right-side of a list place or task page that can contains,https://damanhour.edu.eg/
factor,"In mathematics, an item that is multiplied in a multiplication problem; for",https://damanhour.edu.eg/
"of prime numbers that, when multiplied together, produce the number.factor depreciation method",A method of depreciation that uses a progressive or,https://damanhour.edu.eg/
factorial,"Expressed as n! (n factorial), the result of multiplying the successive",https://damanhour.edu.eg/
factory,A server component that instantiates other server components.,https://damanhour.edu.eg/
factory image,The original Windows operating system image file or the OEM,https://damanhour.edu.eg/
factory method,"A method, usually defined as static, whose purpose is to return an",https://damanhour.edu.eg/
fade,"The period between the central, or sustain, portion of a effect and its end.",https://damanhour.edu.eg/
Fade,An option that allows the user to specify the degree of transparency of an,https://damanhour.edu.eg/
"Fade, Bounce Wipe",A title animation in Windows Movie Maker.,https://damanhour.edu.eg/
"Fade, Ellipse Wipe",A title animation in Windows Movie Maker.,https://damanhour.edu.eg/
"Fade, In and Out",A credit or title animation in Windows Movie Maker.,https://damanhour.edu.eg/
"Fade, Slow Zoom",A title animation in Windows Movie Maker.,https://damanhour.edu.eg/
"Fade, Wipe",A title animation in Windows Movie Maker.,https://damanhour.edu.eg/
fail fast exception,An exception that cannot be caught by any exception handler and,https://damanhour.edu.eg/
failback,"In a failover cluster or server cluster, the process of returning a clustered",https://damanhour.edu.eg/
failback policy,A set of parameters that an administrator can set for a failover cluster,https://damanhour.edu.eg/
failed,A state that applies to a resource or a node in a failover cluster or server,https://damanhour.edu.eg/
failed function,The function call from the call stack that actually caused an,https://damanhour.edu.eg/
failed transaction,A transaction that encountered an error and was not able to,https://damanhour.edu.eg/
failover,"In a failover cluster or server cluster, the process of taking a clustered service",https://damanhour.edu.eg/
Failover Cluster Management snap-in,A Microsoft Management Console,https://damanhour.edu.eg/
2008 operating system.Failover Cluster Manager,A Microsoft Management Console (MMC) snap-in that,https://damanhour.edu.eg/
Failover Cluster Manager snap-in,A Microsoft Management Console (MMC),https://damanhour.edu.eg/
failover cluster snap-in,A Microsoft Management Console (MMC) snap-in that is,https://damanhour.edu.eg/
failover clustering,A high availability process in which an instance of an application,https://damanhour.edu.eg/
Failover Manager,A Windows Fabric system service responsible for failure,https://damanhour.edu.eg/
failover partner,The server used if the connection to the partner server fails.,https://damanhour.edu.eg/
failover relationship,The configuration assigned to two DHCP servers that provide,https://damanhour.edu.eg/
failover time,"The amount of time it takes a resource, either individually or in a",https://damanhour.edu.eg/
failover unit,A set of consistency units that will failover together and that can be,https://damanhour.edu.eg/
fail-safe operator,A user who receives the alert if the designated operator cannot be,https://damanhour.edu.eg/
failure,The inability of a computer system or related device to operate reliably or to,https://damanhour.edu.eg/
failure notification,A type of cache notification triggered when the cache client,https://damanhour.edu.eg/
Fair Usage Policy,"The policy that states the rules of acceptable use, determined by",https://damanhour.edu.eg/
fallback action,The action that an Exchange Server 2007 transport rule takes if a,https://damanhour.edu.eg/
fallback element,An alternate code to run if the XSL processor does not support an,https://damanhour.edu.eg/
fallback form,A form that is displayed when another form option isn’t explicitly set.,https://damanhour.edu.eg/
fallback site,The site in the hierarchy that clients are assigned to when they areinstalled by using automatic site assignment and they are not in a boundary group that has,https://damanhour.edu.eg/
fallback status point,A Configuration Manager site system role that helps you,https://damanhour.edu.eg/
fallback trading partner agreement,A collection of settings that BizTalk Server,https://damanhour.edu.eg/
false positive,A positive test or filter result in a subject or body of data that does not,https://damanhour.edu.eg/
false-positive submission copy,The capability for users to enter a specific e-mail,https://damanhour.edu.eg/
familiar Office program,One of the classic Microsoft applications that can be,https://damanhour.edu.eg/
family,A series of hardware or software products that have some properties in,https://damanhour.edu.eg/
Family,A section of account.microsoft.com where people can manage their,https://damanhour.edu.eg/
Family & kids,A game category designed for children or all-ages family play.,https://damanhour.edu.eg/
family history,Information about the diseases that run on the patient’s family.,https://damanhour.edu.eg/
family member,An account holder who is a parent or a child.,https://damanhour.edu.eg/
Family Room,The default room name in the Rooms feature of the People Hub.,https://damanhour.edu.eg/
Family Safety,An item in the Windows Control Panel that enables users to access,https://damanhour.edu.eg/
family-friendly content,Text or images appropriate for all users including children;,https://damanhour.edu.eg/
fan out,To split a message for routing purposes to deliver to multiple recipients.,https://damanhour.edu.eg/
fan-out query,A technique for querying data across many members of a database,https://damanhour.edu.eg/
fan-out thread,A thread that creates multiple message copies and places them in the,https://damanhour.edu.eg/
Fantasy Violence,A content descriptor developed by the Entertainment SoftwareRating Board (ESRB).,https://damanhour.edu.eg/
fantasy violence,A label in a voluntary content-based rating system used by TV,https://damanhour.edu.eg/
FAQ,A document listing common questions and answers on a particular subject.,https://damanhour.edu.eg/
far clipping plane,The far boundary of a viewing frustum or camera beyond which,https://damanhour.edu.eg/
fast card,An NFC-enabled card (like a credit card) that users can use for payments or,https://damanhour.edu.eg/
fast first logon,A folder redirection functionality that frees users from waiting while,https://damanhour.edu.eg/
fast forward,To advance audio or video playback at a speed that is faster than,https://damanhour.edu.eg/
Fast Forward,This function quickly injects content hosted by Parature into the,https://damanhour.edu.eg/
Fast Fusion,One of the music genres that appears under Genre classification in,https://damanhour.edu.eg/
fast inventory,The reading of the barcode of each tape in the library.,https://damanhour.edu.eg/
fast page mode DRAM,"An older form of DRAM, used in personal computers before",https://damanhour.edu.eg/
fast page-mode RAM,A specially designed dynamic RAM that supports access to,https://damanhour.edu.eg/
fast roaming,A subset of the IEEE 802.11k and 802.11v protocols that provides the,https://damanhour.edu.eg/
Fast Start,A feature in Bit Rate Throttling that delivers a maximum amount of data,https://damanhour.edu.eg/
fast startup,A method of starting the computer that speeds boot time by ending the,https://damanhour.edu.eg/
Fast User Switching,A feature in Windows that allows you to switch to a different,https://damanhour.edu.eg/
FastIP,An IP switching protocol developed by 3Com. Fast IP differs from other IP,https://damanhour.edu.eg/
FastTab,A container for label and control pairs and for complex controls such as,https://damanhour.edu.eg/
FAT,A file system used by MS-DOS and Microsoft Windows operating systems to,https://damanhour.edu.eg/
FAT32,A derivative of the file allocation table (FAT) file system. FAT32 supports,https://damanhour.edu.eg/
fatal error,An error that causes the system or a program to fail abruptly with no hope,https://damanhour.edu.eg/
fault,"A physical defect, such as a loose connection, that prevents a system or device",https://damanhour.edu.eg/
Fault Detection and Isolation,"A technique for monitoring a system, identifying",https://damanhour.edu.eg/
fault domain,The physical point of failure in a data center for a cloud service role.,https://damanhour.edu.eg/
fault injection,A technology allowing users to inject faults into an executable,https://damanhour.edu.eg/
fault tolerance,The ability of computer hardware or software to ensure data integrity,https://damanhour.edu.eg/
fault tolerant heap,A heap manager that can tolerate some types of programming,https://damanhour.edu.eg/
fault tree analysis diagram,A type of diagram commonly used to illustrate events,https://damanhour.edu.eg/
Fault-tolerance,Ability of a system or component to continue normal operation despite,https://damanhour.edu.eg/
favorite,"A user-defined shortcut to the most commonly used forms, reports, websites,",https://damanhour.edu.eg/
favorite contact,A contact that someone has tagged in Messenger to appear in the,https://damanhour.edu.eg/
Favorite Folders,A pane located on top of the Navigation Pane that has copies of,https://damanhour.edu.eg/
Favorite view,A view available from the My Workspace area of the Operations,https://damanhour.edu.eg/
page to your Favorites list in Internet Explorerfavorites,The list of shortcuts to frequently-accessed websites.,https://damanhour.edu.eg/
Favorites,A user-specified list of people who can be accessed quickly across Office,https://damanhour.edu.eg/
favorites,The pictures that you can select to appear in the animated Pictures tile on,https://damanhour.edu.eg/
fax,An activity that tracks call outcome and number of pages. Optionally stores the,https://damanhour.edu.eg/
fax account,A collection of settings for sending and receiving faxes using a,https://damanhour.edu.eg/
fax call,An attempt to send a fax to a computer (or to an external fax modem) via an,https://damanhour.edu.eg/
fax machine,"A device that scans pages, converts the images of those pages to a",https://damanhour.edu.eg/
fax modem,A modem that sends (and possibly receives) data encoded in a fax format,https://damanhour.edu.eg/
fax server,A network server that receives incoming faxes and sends them directly to,https://damanhour.edu.eg/
fax-enabled,Able to send or receive fax messages.,https://damanhour.edu.eg/
FCI,A Windows Server feature that automates classification processes to manage,https://damanhour.edu.eg/
FCS,The extra checksum characters added to a frame in a communication protocol,https://damanhour.edu.eg/
FDA,A U.S. governmental agency that is responsible for protecting public health by,https://damanhour.edu.eg/
FDD,"(Fixed Disk Drive, Floppy Disk Drive). The slot on the PC which accepts- floppy",https://damanhour.edu.eg/
FDI,"A technique for monitoring a system, identifying when a fault has occurred, and",https://damanhour.edu.eg/
FDI server,"A software program for detecting, isolating, and, when possibile,",https://damanhour.edu.eg/
FDN,A mode that restricts outgoing calls to a fixed set of numbers.,https://damanhour.edu.eg/
Fear,A content descriptor developed by the Pan European Gaming Information,https://damanhour.edu.eg/
feature,A set of logically related functional requirements that provides a capability to,https://damanhour.edu.eg/
the user and enables the satisfaction of a business objective.feature,A set of software functionality designed to solve a specific problem or to,https://damanhour.edu.eg/
feature activation dependency,A relationship in which a feature is activated,https://damanhour.edu.eg/
feature delegation,The process of granting access to feature areas. Access is granted,https://damanhour.edu.eg/
feature dissatisfaction,A condition where users believe that a feature does not meet,https://damanhour.edu.eg/
feature event receiver,A server-side code routine that is called when a feature is,https://damanhour.edu.eg/
feature selection,The process of choosing the attributes that are most relevant to,https://damanhour.edu.eg/
feature stapling,"The process of associating a feature with a site definition, without",https://damanhour.edu.eg/
Feature Upgrade,A feature that allows IT pros and developers to upgrade features,https://damanhour.edu.eg/
Featured,The collection title for items emphasized by the store through placement,https://damanhour.edu.eg/
Featured albums,The collection title for music albums emphasized by the store,https://damanhour.edu.eg/
Featured artists,The collection title for musical artists emphasized by the store,https://damanhour.edu.eg/
Featured badges,The group label for badges that are elevated as part of a,https://damanhour.edu.eg/
Featured Chefs,Selected top celebrity chefs or star cooks currently featured on,https://damanhour.edu.eg/
Featured Cocktails,Selected or favorite cocktails currently featured on MSN site.,https://damanhour.edu.eg/
featured content,A photo or video in Photos that appears as one of the initial five,https://damanhour.edu.eg/
Featured emoticons,The group label for emoticons that are elevated as part of a,https://damanhour.edu.eg/
promotion or business arrangement.Featured Ingredients,Selected or favorite ingredients currently featured on MSN,https://damanhour.edu.eg/
Featured movies,The collection title for movies emphasized by the store through,https://damanhour.edu.eg/
Featured music,The collection title for music items emphasized by the store,https://damanhour.edu.eg/
Featured Partners,Selected Food & Drink providers currently featured on MSN,https://damanhour.edu.eg/
Featured pictures,The group label for pictures that are elevated as part of a,https://damanhour.edu.eg/
Featured Recipes,Selected or favorite recipes currently featured on MSN site.,https://damanhour.edu.eg/
Featured scenes,The group label for scenes that are elevated as part of a promotion,https://damanhour.edu.eg/
Featured selection,The collection title for items chosen by merchandizers.,https://damanhour.edu.eg/
Featured sets,The collection title for boxed sets of movies or TV series,https://damanhour.edu.eg/
Featured TV,The collection title for TV shows emphasized by the store through,https://damanhour.edu.eg/
Features,A hub where users can learn about the different features of Windows,https://damanhour.edu.eg/
Federal Information Processing Standard,"A system of standards, guidelines, and",https://damanhour.edu.eg/
federal tax ID,"In the United States, a 9-digit number that identifies a business entity",https://damanhour.edu.eg/
federal tax identification number,"In the United States, a 9-digit number that",https://damanhour.edu.eg/
federated,Pertaining to a contact who is external to the user’s organization or,https://damanhour.edu.eg/
federated application,"A Web-based application that is AD- FS-enabled, meaning",https://damanhour.edu.eg/
federated conference,A conference with federated partners.,https://damanhour.edu.eg/
federated contact,A contact who is not part of the user’s enterprise but with whom,https://damanhour.edu.eg/
federated database servers,A set of linked servers that shares the processing load of,https://damanhour.edu.eg/
federated domain,A domain that is engaged in a trust relationship with another,https://damanhour.edu.eg/
federated IM,An instant message with a federated contact.federated instant messaging (n)~ Instant messaging with federated contacts.,https://damanhour.edu.eg/
federated location definition,The configuration settings that describe how to issue a,https://damanhour.edu.eg/
federated search,A type of search that provides users with results from multiple,https://damanhour.edu.eg/
federated table,A table that contains data that is distributed by the federation.,https://damanhour.edu.eg/
federated user,"An external user who has valid credentials from a federated partner,",https://damanhour.edu.eg/
federation,A trust relationship between two or more SIP domains that permits users,https://damanhour.edu.eg/
Federation,A technical approach where one security domain has a system to,https://damanhour.edu.eg/
federation member,A database that contains parts of the federation’s data and is,https://damanhour.edu.eg/
federation server,A computer that has been configured to host the Federation,https://damanhour.edu.eg/
federation server proxy,A computer that has been configured to host the Federation,https://damanhour.edu.eg/
Federation Service,An installable role service of Active Directory Federation,https://damanhour.edu.eg/
Federation Service Proxy,An installable role service of Active Directory Federation,https://damanhour.edu.eg/
fee transaction,A transaction that registers revenue with no matching cost.feed (n)~ A distribution mechanism for frequently-updated content that is aggregated by,https://damanhour.edu.eg/
Feed Discovery,A feature of Internet Explorer in Windows Vista that finds XML,https://damanhour.edu.eg/
feedback,The return of a portion of system output as input to the same system. Often,https://damanhour.edu.eg/
Feedback,A UI element that provides access to a site or process for submitting,https://damanhour.edu.eg/
Feedback Client 2013,"The name of application, which can help your development",https://damanhour.edu.eg/
Feedback Client 2013 Language Pack,Language Pack is a free add-on that you can,https://damanhour.edu.eg/
feedback document,A document which is sent from Navision to Outlook as a,https://damanhour.edu.eg/
feedback form,"An online form that allows its users to submit their questions,",https://damanhour.edu.eg/
feedback hub,A remote server that supports generating and aggregating the response,https://damanhour.edu.eg/
Feedback Tool,A Windows tool that users may use to report their issues to,https://damanhour.edu.eg/
feeder flow,A production flow that can- supply other downstream production flows.,https://damanhour.edu.eg/
feeding tube,A tube used to provide nutrition to patients who are unable to obtain,https://damanhour.edu.eg/
FEFO,A method used for determining the order in which goods should be taken out,https://damanhour.edu.eg/
female connector,A cable connector that has holes and plugs into a port or interface to,https://damanhour.edu.eg/
fencing,The process of isolating a failed node from shared resources to assure data,https://damanhour.edu.eg/
fetch,To retrieve an instruction or an item of data from memory and store it in a,https://damanhour.edu.eg/
executed  or acted upon .Fetch,A proprietary XML-based query language that is used in Microsoft,https://damanhour.edu.eg/
FetchXML,A proprietary XML-based query language that is used in Microsoft,https://damanhour.edu.eg/
FEV,The volume of air coming out of the lung under forced conditions.,https://damanhour.edu.eg/
FF,A printer command that tells a printer to move to the top of the next page. In the,https://damanhour.edu.eg/
FFL,The process of creating an event log that is written to a UTF-8 formatted text,https://damanhour.edu.eg/
FFS,"(For F***‘s Sake)- Internet slang, not suitable for polite company.",https://damanhour.edu.eg/
FFU,A tool that can be used to apply Windows images to multiple devices at once.,https://damanhour.edu.eg/
FIB,A focused beam of gallium ions that can be used to image the surface of a PCB,https://damanhour.edu.eg/
fiber mode,A situation where an instance of SQL Server allocates one Windows,https://damanhour.edu.eg/
fiber optics,A technology for the transmission of light beams along optical fibers. A,https://damanhour.edu.eg/
Fibre Channel,A networking standard developed to connect devices that require the,https://damanhour.edu.eg/
Fiction,The Books & reference subcategory containing apps with fictional stories,https://damanhour.edu.eg/
fidelity,The accuracy with which an image is reproduced on your personal computer.,https://damanhour.edu.eg/
field,An area in a window or record that stores a single data value.,https://damanhour.edu.eg/
field access profile,The set of field-level access permissions that have been granted,https://damanhour.edu.eg/
field button,A button that identifies a field in a PivotTable or PivotChart report. You,https://damanhour.edu.eg/
field code,Placeholder text that shows where specified information from your data,https://damanhour.edu.eg/
field data type,A property of a field that defines the kinds of data the field can store.,https://damanhour.edu.eg/
field data types,A characteristic of a field that determines what kind of data it can,https://damanhour.edu.eg/
Field Dependency,A relationship between two Parature Fields where a Child Field or,https://damanhour.edu.eg/
Field Explorer,A UI section that displays the fields available for customizing a,https://damanhour.edu.eg/
field internal name,A string that uniquely identifies a field in a content type or a,https://damanhour.edu.eg/
field length,"In bulk copy, the maximum number of characters needed to represent a",https://damanhour.edu.eg/
Field List pane,A pane that lists all the fields in the underlying record source or,https://damanhour.edu.eg/
field mapping,A relationship created between a field value in one document and a,https://damanhour.edu.eg/
field marshaller,A SQL Server feature that handles marshaling for fields.,https://damanhour.edu.eg/
field name,The name of a category of information in a mail-merge data source. For,https://damanhour.edu.eg/
field results,Text or graphics inserted in a document when Microsoft Word carries,https://damanhour.edu.eg/
field selector,A small box or bar that you click to select an entire column in a,https://damanhour.edu.eg/
field terminator,"In bulk copy, one or more characters marking the end of a field or",https://damanhour.edu.eg/
field type,The name that identifies the action or effect the field has in the document.,https://damanhour.edu.eg/
field value,"The contents of a database field displayed inside a database results region,",https://damanhour.edu.eg/
field-level access,The permission that is assigned to a user or users that allow them to,https://damanhour.edu.eg/
field-level synchronization,"The ability to select specific fields for an entity (recordtype) and specify how they should synchronize between CRM and Exchange, either in",https://damanhour.edu.eg/
FIF,The speed of air coming into the lung under forced inspiration.,https://damanhour.edu.eg/
FIFO,A method for processing a queue in which items in the queue are removed in,https://damanhour.edu.eg/
FIFO inventory valuation method,A method of inventory valuation in which,https://damanhour.edu.eg/
Fighting,"The Games subcategory containing games that simulate fighting, such as",https://damanhour.edu.eg/
figures,A Windows feature (in CSS) that allows web designers and developers to,https://damanhour.edu.eg/
file,A collection of information that is stored on a computer or device under a single,https://damanhour.edu.eg/
File,The name of a menu in a conversation window from which the user can save the,https://damanhour.edu.eg/
file adapter,An adapter that can read messages from the file system and submit them,https://damanhour.edu.eg/
file allocation table,A file system used by MS-DOS and Microsoft Windows,https://damanhour.edu.eg/
File and Registry Virtualization,A feature that allows standard users to run,https://damanhour.edu.eg/
File as Printout,A command that will use a print driver installed by OneNote to,https://damanhour.edu.eg/
file association,"For a particular file name extension, the association array elements",https://damanhour.edu.eg/
file attachment control,A control that allows users to attach files to their form when,https://damanhour.edu.eg/
file backup,A backup of all the data in one or more files or filegroups.,https://damanhour.edu.eg/
File Block,A feature that allows end users and IT admins to control which file types,https://damanhour.edu.eg/
file buffer,"A reserved portion of memory used to temporarily store data, pending an",https://damanhour.edu.eg/
file cache,File-based storage that is created on the client computer when the clientcomponents are installed.,https://damanhour.edu.eg/
File Classification Infrastructure,A Windows Server feature that automates,https://damanhour.edu.eg/
file collection,The process of copying specified files from SMS/Configuration,https://damanhour.edu.eg/
file compression,The process of reducing the size of a file for transmission or,https://damanhour.edu.eg/
file control block,A small block of memory temporarily assigned by a computer’s,https://damanhour.edu.eg/
file conversion,The process of transforming the data in a file from one format to,https://damanhour.edu.eg/
file copy,"The first of the three stages of Setup, where the Windows program files and",https://damanhour.edu.eg/
file differential backup,A backup of one or more files containing only changes made,https://damanhour.edu.eg/
file DSN,file Data Source Names. File-based data sources shared among all users,https://damanhour.edu.eg/
File Explorer,A utility that enables the user to locate and open files and folders.,https://damanhour.edu.eg/
File extension,.gif .txt .doc .log etc. are all examples of file extensions. These are the,https://damanhour.edu.eg/
file filter,A DLL that controls the transfer of data between devices.,https://damanhour.edu.eg/
file fork,One of the two parts of a file recognized by the Mac OS. A Macintosh file,https://damanhour.edu.eg/
file format,The structure or organization of data in a file.,https://damanhour.edu.eg/
file format escape,"In regular expressions, the usual C language character escape",https://damanhour.edu.eg/
file group,A File Server Resource Manager option that is used to define a namespace,https://damanhour.edu.eg/
file handle,"In MS-DOS, OS/2, and Windows, a token (number) that the system uses",https://damanhour.edu.eg/
"to identify or refer to an open file or, sometimes, to a device.File History",A Windows feature designed to help users avoid data loss by,https://damanhour.edu.eg/
file license,A license that authorizes protection of file resources on a single server.,https://damanhour.edu.eg/
file list,"The list of files in the current project, located in the file pane of Visual",https://damanhour.edu.eg/
file lock,An operating system mechanism that prevents a file that is used in one,https://damanhour.edu.eg/
File management,The Business subcategory containing apps to help businesses,https://damanhour.edu.eg/
file manager,A module of an operating system or environment that controls the,https://damanhour.edu.eg/
File managers,The Utilities & tools subcategory containing apps to help you,https://damanhour.edu.eg/
file mapping,The association of a file’s contents with a portion of the virtual address,https://damanhour.edu.eg/
File menu,"A common drop-down menu that includes commands for file operations,",https://damanhour.edu.eg/
file mode,"The mode -€”Input, Output, Append, Random, or Binary-€” that",https://damanhour.edu.eg/
file name,"The set of letters, numbers, and allowable symbols assigned to a file to",https://damanhour.edu.eg/
file name extension,A set of characters added to the end of a file name that identifies,https://damanhour.edu.eg/
File Open Picker contract,A contract that enables developers to- create apps,https://damanhour.edu.eg/
file pair,A unit of a data file and the corresponding delta file.,https://damanhour.edu.eg/
file picker,A UI element that enables users to locate and select files.,https://damanhour.edu.eg/
file port,An application-specific location that includes extra information that the,https://damanhour.edu.eg/
file property,"A detail about a file that helps identify it, such as a descriptive title, the",https://damanhour.edu.eg/
file protection,A process or device by which the existence and integrity of a file are,https://damanhour.edu.eg/
file replication schedule,The schedule by which Directory Services user lists that are,https://damanhour.edu.eg/
file replication service,A service that provides multimaster file replication for,https://damanhour.edu.eg/
file restore,An operation that restores one or more files of a database.,https://damanhour.edu.eg/
file rollover,"The process when a program closes a file, based on a certain event, and",https://damanhour.edu.eg/
File Save Picker contract,A contract that- enables devs to set up their app as a,https://damanhour.edu.eg/
file screen,A File Server Resource Manager option that is used to block certain files,https://damanhour.edu.eg/
file screen exception,A file screen that overrides any file screening that would,https://damanhour.edu.eg/
File Screening Audit,A storage report that lists file screening audit events on the,https://damanhour.edu.eg/
File server,A type of computer used on- networks- to provide files and other services to,https://damanhour.edu.eg/
File Server for Macintosh,A service that allows users of Macintosh computers to,https://damanhour.edu.eg/
File Server Resource Manager,A suite of tools that allows administrators to,https://damanhour.edu.eg/
file share witness,A new type of Majority Node Set (MNS) quorum in Windows,https://damanhour.edu.eg/
file sharing program,A peer-to-peer file sharing client used to connect to file sharing,https://damanhour.edu.eg/
file size,"The length of a file, typically given in bytes.",https://damanhour.edu.eg/
file specification,"The path to a file, from a disk drive through a chain of directory",https://damanhour.edu.eg/
file system,"In an operating system, the overall structure in which files are named,",https://damanhour.edu.eg/
file system cache,An area of physical memory that holds frequently used pages. It,https://damanhour.edu.eg/
File tab,A tab on the ribbon that takes users to Microsoft Office Backstage view.,https://damanhour.edu.eg/
file to exclude,A file that is not included in the file group.,https://damanhour.edu.eg/
file to include,A file that is included in the file group.,https://damanhour.edu.eg/
file transfer,The process of moving or transmitting a file from one location to,https://damanhour.edu.eg/
File Transfer Protocol,"A member of the TCP/IP suite of protocols, used to copy",https://damanhour.edu.eg/
file type,"The format of a file, commonly indicated by its file name extension. The filetype indicates which program the file was created in and can be opened with.",https://damanhour.edu.eg/
file type association,"For a particular file name extension, the association array",https://damanhour.edu.eg/
file/registry virtualization,A feature that allows standard users to run applications,https://damanhour.edu.eg/
file-based imaging,The process of capturing information at the file level into a single,https://damanhour.edu.eg/
file-based storage,"Storage that takes place in local files (as opposed to a database),",https://damanhour.edu.eg/
filegroup,A named collection of one or more data files that forms a single unit of,https://damanhour.edu.eg/
file-mapping object,An object that maintains the association of a file’s contents with,https://damanhour.edu.eg/
filer,A user who regularly files mailbox items into folders.,https://damanhour.edu.eg/
filer user,A user who regularly files mailbox items into folders.,https://damanhour.edu.eg/
Files,An optional downloadable app that allows a person to browse the files stored,https://damanhour.edu.eg/
Files by File Group,A storage report that lists files that belong to specified file,https://damanhour.edu.eg/
Files by Owner,"A storage report that lists files, grouped by owner. Use this report to",https://damanhour.edu.eg/
filestream,A sequence of bytes used to hold file data.,https://damanhour.edu.eg/
FileTable,A feature that provides internal storage to the core SQL Server product.,https://damanhour.edu.eg/
FileZilla,"FileZilla is free, open source, cross-platform FTP software, consisting of",https://damanhour.edu.eg/
fill,"In computer graphics, the colored or patterned paint’ inside an enclosed figure",https://damanhour.edu.eg/
fill effect,An effect that applies to the appearance of the interior of an enclosed text,https://damanhour.edu.eg/
fill factor,An attribute of an index that defines how full the SQL Server Database,https://damanhour.edu.eg/
fill handle,The small black square in the lower-right corner of a selected cell that can,https://damanhour.edu.eg/
fill in the blank question,"A type of question (for example, in a poll, survey or test)",https://damanhour.edu.eg/
fill out,To enter information into a form.,https://damanhour.edu.eg/
fill rate,The percentage of ad requests where an ad is displayed to the user.,https://damanhour.edu.eg/
fill series,"A sequence of data such as numbers, number and text combinations, dates,or time periods, based on an established pattern and used to automatically fill data into",https://damanhour.edu.eg/
Fill Transform,A tool that lets you alter the appearance of a gradient or pattern fill.,https://damanhour.edu.eg/
Fill With Color tool,A tool that allows the user to change the color of a group of,https://damanhour.edu.eg/
filled map,A chart type for geographic data using color progression for numeric,https://damanhour.edu.eg/
filler ingredient,A type of ingredient in a formula that is used to increase the total,https://damanhour.edu.eg/
"Film Age, Old",A filter effect in Windows Movie Maker.,https://damanhour.edu.eg/
"Film Age, Older",A filter effect in Windows Movie Maker.,https://damanhour.edu.eg/
"Film Age, Oldest",A filter effect in Windows Movie Maker.,https://damanhour.edu.eg/
Film Grain,A filter effect in Windows Movie Maker.,https://damanhour.edu.eg/
filmstrip,A form of Launcher that scrolls from right to left and displays both a strip,https://damanhour.edu.eg/
filter,A pattern or mask through which data is passed to separate specified items.,https://damanhour.edu.eg/
Filter,1) A device which allows you to use an ordinary phone over a telephone line set,https://damanhour.edu.eg/
filter area,The part of PivotTable or PivotChart view that contains filter fields.,https://damanhour.edu.eg/
Filter By Form,A technique for filtering data that uses a version of the current form,https://damanhour.edu.eg/
records to contain.Filter By Selection,"A technique for filtering records in a form, datasheet, or data",https://damanhour.edu.eg/
filter criteria,Conditions that users specify to limit which records are included in the,https://damanhour.edu.eg/
Filter Excluding Selection,"A technique in which you filter records in a form,",https://damanhour.edu.eg/
filter field,A field in the filter area that you can use to filter data displayed in,https://damanhour.edu.eg/
Filter For Input,A technique for filtering records that uses a value or expression you,https://damanhour.edu.eg/
filter handler,A handler that scans documents for text and properties.,https://damanhour.edu.eg/
filter icon,The icon that appears next to filtered data in a form.,https://damanhour.edu.eg/
