Термин,Определение,Категория,Источник
Operational Data Store (ODS),"A structure, generally part of an overall Data Warehouse architecture, that holds all unaggregated Data from source systems. This Data would be transformed (by ETL) to be self-consistent and may also have elements of a Multidimensional Approach applied to it. However it would differ from the main Data Warehouse structures by a) not being aggregated, b) being updated more frequently, or close to real-time and c) often maintaining less history. Its ODS is often the main source from which a Data Warehouse is built. An ODS can be used both to support operational reporting, which tends to be more detailed, and as a mechanism to provide granular Data to other applications that need it, e.g. Digital front-ends.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#operational-data-store
Operational Repository,"A Data Repository which forms a major part of a modern Data Architecture and is focussed on supporting the generation of Information (cf. an Analytical Repository, which is focussed on supporting the generation of Insight). An Operational Repository will hold internal Transactional data relating to an organisation’s core operations, sometimes also also in summary form to better support Analysis.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#operational-repository
Optimisation,"Optimisation refers to a process for selecting the best (optimum) outcome from a set of possible alternatives. Such processes tend to be iterative in nature with a best outcome emerging after a number of cycles (possibly limited, i.e. select the best result after 100 cycles). Optimisation is the province of an area of Mathematics and Computer Science called Optimisation Theory. Specifically Machine Learning approaches will employ algorithms, such as Stochastic Gradient Descent (SGD) or Coordinate Descent, to drive Optimisation processes.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#optimisation
Outlier Detection,See Anomaly Detection.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#outlier-detection
Overfitting,"A problem in Statistics and Machine Learning where a Model matches the data used to create it so well that it loses explicative power when presented with further related data sets. Most models aim to separate Signal from Noise, overfitting normally occurs where this has been unsuccessful and the Model is instead explaining Noise specific to the initial data set.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#overfitting
Pattern Recognition,"This is a broad term covering activities in areas such as neuroscience; but here the focus is on the recognition of patterns in data. This could be identifying potentially suspicious bank transactions, teasing out meaning from the petabytes generated by a Large Hadron Collider experiment, finding edges in a photograph, or working out which people a COVID-19 sufferer has come into contact with in the last month. Often a phenomenon is broken into constituent parts and patterns are examined in each, before the pieces are reconstituted. There are clearly linkages between Pattern Recognition and both Machine Learning and Image Recognition.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#pattern-recognition
Personal Data,"Personal Data both has an obvious general meaning and a more technical one under GDPR, but the meanings are not mutually inconsistent. To take the more precise definition, Personal Data is data which relates to a specific, identified person, or which may allow a specific person to be identified. So while obviously things like full name, full postal address and Governament-issued ID numbers (e.g. Passport Number, Social Security Number in the US, National Insurance Number or NHS Number in the UK) are Personal Data, so might be a combination of location and demographic data if this uniquely identifies a single person (or indeed a small group of people). In a hypothetical situation, there might be only one male of Uzbek ethnicity in Fordwich, Kent (population 381).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#personal-data
Personally Identifiable Information (PII),"Personally Identifiable Information is a US term which is often used synonymously with Personal Data. However, the term covers four distinct meanings under US law, none of which is precisely the same as the meaning of Personal Data under GDPR. Given, the potential confusion, the term is not widely used outside of the US.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#personally-identifiable-information
Pie Chart,See Chart.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#pie-chart
PII,See Personally Identifiable Information.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#pii
Pig,"A language used for creating MapReduce (or Spark) routines in more of a high-level language. The term “Pig” comes from Pig Latin. A Pig script might load a file, label the columns it contains, filter it by the contents of one or more of these and write the resulting Data into a new file. An example of its usage might be some code to determine how many occurrences of a particular word there are in a given set of files. Pig has some elements in common with SQL, but does not attempt to be SQL-like the way that HiveQL does.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#pig
Pseudonymisation,"Pseudonymisation is one approach to ensuring the Protection of Personal Data. The term drives from “pseudonym”, which means “false name” in Greek.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#pseudonymisation
Python,A Open Source programming language that is often the tool of choice for Data Scientists manipulating large Data sets. Some reasons for this include its ease of use and its extensive libraries of statistical capabilities.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#python
R,"A powerful Open Source statistical programming language, often employed on top of a Big Data solution, but also on more traditional Relational Databases and other Data sources.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#r-language
Radar Chart [Spider Chart],See Chart.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#radar-chart
Random Forest,See Model.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#random-forest
Reference Data,Contributor: George Firican,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#reference-data
Referential Integrity,"A concept within Relational Databases, which consist of Tables with Columns and relationships between the contents of these. For example a table may record a customer’s contact details, including Country. A list of valid Countries and the codes associated the them will be stored in another, look-up, or reference, Table (sometimes referred to as Master Data). An example of Referential Integrity would be that only Country codes that are defined in the look-up, or reference, Table should appear on the Customer details table. Such Referential Integrity may be enforced in a number of ways. If, for example, an application (e.g. a Sales System) sits above the Database, then the code of this system may ensure Referential Integrity. Also, many Databases have features (e.g. explicit constraints, or triggers containing validation code executed when a record is created or updated) that allow Referential Integrity to be implemented. It is a challenge to maintain Referential Integrity through events such as: a manual fix to some error in the Database, a Database or application update, transferring Data to a reporting or analytics Database. There is also the issue that Reference Data can change over time, e.g. Czechoslovakia became the Czech Republic and Slovakia.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#referential-integrity
Relational Database,"A Database that stores Data in Tables with relations between them. E.g. There may be a Customer table with contact details and marketing preferences and a Sales table linked to this with products, price and purchase dates. Relational Databases have their contents created, modified and read using the industry standard SQL language. Relational Databases have been the de facto standard for supporting all IT systems in the last 40 years. They remain the standard for transactional systems (web-sites, sales systems, General Ledgers) and for statutory, regulatory and publicly available Information. Since the mid-2000s they have been challenged in the Insight and Analyticsspace by Big Data solutions.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#rdbms
Report,"As may be determined from the name, the genesis of Reports were documents prepared to inform a superior of what was going on; think of reports of “progress” at the front being relayed to World War I generals by their subordinates. In a business context such updates to management inevitably contained figures as well as commentary. With the advent of electronic computers, it became possible to produce the figures bit of reports automatically and this became somewhat decoupled from the explanatory commentary, with the former retaining the term Report. In early years (and even 2019) many Reports would have been produced on paper (often paper with sprocket holes). As visual display units became more common and of a higher specification, Reports became something that could be consumed on a screen (or SmartPhone), but many acres of woodland still go into printing them.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#report
"Robot (Robotics, Bot)","A Robot is a machine which is capable of acting independently to carry out one or more task. Robots are typically controlled by some form of computer and / or software. Robotics is the study of how to create such machines and their control mechanisms; as such it is a combination of engineering and computer science, with strong linkages to Artificial Intelligence and Image Recognition.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#robot
Robotic Process Automation (RPA),"Robotic Process Automation is a method for automating business processes that obviates the need to describe these processes in full detail. In normal process automation, a developer will have to model the activity to be automated in code (or more likely some sort of pseudo-code if using an automation tool) and make calls to APIs to process the relevant transactions. With RPA, Machine Learning techniques are initially used to “observe” users completing tasks (e.g. entering data into an application or web-page) and determine how to do the same. The software agent can then carry out these tasks themselves, mimicking  fingertip input rather than calling an API. Some RPA agents can also learn how to complete related tasks not covered by the initial Training phase.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#robotic-process-automation
Robotics,See: Robot.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#robotics
RPA,See: Robotic Process Automation.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#rpa
SAR,See Subject Access Request.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#sar
Scatter Chart,See Chart.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#scatter-chart
Self-service [BI or Analytics],"Self-service in either BI or Analytics has precisely the same meaning as in a restaurant, patrons wander up to a food bar with their plates and put whatever they like on them. Self-service has become the objective of many data-centric projects and programmes, ostensibly putting the needs of “customers” of data at the centre of work. However there is an alternative interpretation, that the projects and programmes have given up trying to provide data sets that meet people’s needs as it is too hard. Instead they provide access to data and say “it’s now your problem to do stuff with it”. Maybe the truth lies somewhere between these extremes. However it is undeniable that the success or failure of a Data Lake is inextricably linked to how well it is Curated and that of a Data Warehouse is similarly correlated to the fidelity with which its Data Model reflects business needs. Self-service is a good tool to have the in bag when looking to deliver a complete data solution, but it is unwise to have it be the only tool in the bag.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#self-service
Sensitivity Analysis,See Model.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#sensitivity-analysis
Sentiment Analysis,"This has the objective of understanding the state of mind of individuals, often customers, or potential customers, and how this might impinge on their relationship with an organisation. For example, do they have a positive view of the organisation’s brand? Did they react positively or negatively to a recent news story about the organisation. This discipline often uses Social Media sources as a primary input, though survey feedback and comments made to customer service representatives may also feature. Sentiment Analysis draws on elements of both Text Analytics and Natural Language Processing. Objectives might include determining which product or service to offer on a web-page or in advertising, or forestalling a good customer leaving for a competitor because of some shift in their opinion about the organisation.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#sentiment-analysis
Sentiment Analysis,"This has the objective of understanding the state of mind of individuals, often customers, or potential customers, and how this might impinge on their relationship with an organisation. For example, do they have a positive view of the organisation’s brand? Did they react positively or negatively to a recent news story about the organisation. This discipline often uses Social Media sources as a primary input, though survey feedback and comments made to customer service representatives may also feature. Sentiment Analysis draws on elements of both Text Analytics and Natural Language Processing. Objectives might include determining which product or service to offer on a web-page or in advertising, or forestalling a good customer leaving for a competitor because of some shift in their opinion about the organisation.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#sentiment-analysis
Single Customer View,"The concept of a Single View of the Truth more narrowly applied to just customer Data. Historically this has been achieved via Customer Relationship Management systems, but other Data repositories such as Data Lakes and Data Warehouses have sometimes played this role.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#scv
Single Version of the Truth,"Generally an aspirational state where all decision making in an organisation relies upon the same source of Data, normally a central repository of some sort such as a Data Lake (more accurately the models that Data Scientists build on this) or Data Warehouse. SVT is different to all numbers used in an organisation being identical. For example a monthly sales report might treat new business in a different way to a Finance report. The important point is that both figures ought to originate from the same place, even of they are treated differently later (e.g. cut-off dates being different for different purposes).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#svt
Software Bot,See: Robot.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#software-bot
Spark,"More properly Apache Spark. Spark was developed to improve upon the speed of the MapReduce approach where the same Data is accessed many times, as can happen in some queries and algorithms. This is achieved in part by holding some or all of the Data to be accessed In-memory. Spark works with HDFS and also other distributed file systems, such as Apache Cassandra.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#spark
SQL,Short for Structured [English] Query Language. A standardised language for asking questions from Relational Databases. SQL has been the standard for interacting with Databases for the last four decades.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#sql
Star Schema,See Multidimensional Approach.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#star-schema
Statistics,"Statistics is the branch of Mathematics concerned with the aggregate properties of large (sometimes infinite) sets of Data, often termed populations. Statistics focuses on how data is collected, Analysed and interpreted. Examples of the aggregate properties of data (descriptive statistics) include ones that measure where the centre of a distribution of data lies such as mean, mode and median together with ones that focus on how much it is spread out such as variance, standard deviation and kurtosis.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#statistics
Statistical Model,See Model.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#statistical-model
Structured Data,A high proportion of the Data captured by most organisations. Anything than can be captured in a Table with rows and columns (and thus reproduced in Excel).,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#structured-data
Structured Reporting Framework,"As described in the entry for Data Governance Framework, a framework is a structure within which you place things in order that they form a coherent part of an overall whole. A Structured Reporting Framework is way of organising various Information and Insight elements, such as Reports, Dashboards and Analysis Facilities, into a coherent whole.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#structured-reporting-framework
Subject,"Under GDPR, a Subject is defined as an “identified or identifiable natural person”. Less legalistically, this means a specific human being, whose data is stored by an organisation (a Data Controller or Data Processor).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#subject
Subject,"Under GDPR, a Subject is defined as an “identified or identifiable natural person”. Less legalistically, this means a specific human being, whose data is stored by an organisation (a Data Controller or Data Processor).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#subject
Subject Access Request (SAR),"Under GDPR, individuals have a right to find out if an organisation is storing their data and how it is being stored. This extends to requesting a copy of the data from the organisation. Such requests are known as Subject Access Requests, where the Subject refers to the individual whose data may be held.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#subject-access-request
System of Record,A system which captures transactions material to the Statutory Financial results or Regulatory submissions of an organisation. A System of Record will be the definitive source of Data about transactions.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#system-of-record
Table,"The fundamental component of many Databases. Used to store specific sets of Data, generally to do with a single area, e.g. a customer address table. A Database will generally contain many tables. In a Relational Database, each table is in turn made up of columns and rows in a way that is analogous to an Excel spreadsheet. Each column holds a different type of Data element (e.g. Column 1 = First Name, Column 2 = Second Name, Column 3 = Date of Birth), whereas each row gathers together one set of values for each of the columns (e.g. Row 1 = “Bill”, “Gates”, “28-OCT-1955”, … and Row 2 = “Elon”, “Musk”, “28-JUN-1971”, …).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#table
Testing Data (Training Data),"In Machine Learning, the “machine”, typically embodying a Neural Network either physically or in software, is initially fed a lot of historical Data, for example photographs which either contain or do not contain some object. Based on this, the “machine” develops its own rules which allow it to determine the presence of, say, a red ball. The Data used to achieve this is called Training Data. Once these rules have been developed, they are tested against a separate set of Data that has been held back during training, the objective being to assess the efficacy of the “machine’s” rules. This second set of Data is Testing Data.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#testing-data
Text Analytics (Text Mining),The process of parsing text to derive meaning and identify patterns. This could be based on context provided alongside text (semantics) or working on raw text alone. Text Analytics may employ techniques drawn from Machine Learning and – for obvious reasons – Natural Language Processing. One objective of Text Analytics may be Sentiment Analysis.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#text-analytics
Text Mining,See: Text Analytics.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#text-mining
Time Series Analysis,See Model.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#time-series-analysis
Training Data,See Testing Data.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#training-data
Transactional System,"Related to Systems of Record. A system into which transactions (e.g. new purchase orders, updates to existing purchase orders, returns etc.) are entered by humans, created from Data interfaced from other systems, generated on web-sites, or sent from sensors. The main attribute of a transactional system is that historical transactions are not changed, but instead modified by new transactions. This allows historical positions to be recreated.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#transactional-system
Transactional System,"Related to Systems of Record. A system into which transactions (e.g. new purchase orders, updates to existing purchase orders, returns etc.) are entered by humans, created from Data interfaced from other systems, generated on web-sites, or sent from sensors. The main attribute of a transactional system is that historical transactions are not changed, but instead modified by new transactions. This allows historical positions to be recreated.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#transactional-system
Tree Map,See Chart.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#tree-map
Unstructured Data,"Natural language text, video, photographs / other images, telephony capture, social media / web-site interactions, some aspects of the Internet of Things etc.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#unstructured-data
View (Materialised View),"A construct in a Relational Database that is analogous to a virtual Table. When someone queries a table, this actually executes a piece of SQL, which could reference several tables at once. This means that a person interacting with a View can have some complexities of the source Data hidden from them. A View might be used to combine Data from two dissimilar tables, making them seem as one. It might allow access to only a subset of the contents of a table (certain columns and/or certain rows for example) according to security requirements or just the needs of a user. It might supplement raw Data by including calculations (Field A × Field B) or adding looked-up descriptions from another table.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#view
Web Analytics,"Web Analytics is a capability, to monitor how people interact with an organisation’s web-sites and mobile applications. This would include how they found a site / app (e.g. a search engine, an advert placed on another web-site, or a link from another web-site, perhaps an affiliate marketer), what they do while on a site or in an app (what links they clicked on, if relevant what products or services they bought, how much time they spent on each part of a site / app, whether they had any problems such as broken links etc.) and whether they register for any further information / contact (e.g. asking for a quote or for someone to call them, registering for a newsletter, asking a question etc.).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#web-analytics
Consider Supporting The Data & Analytics Dictionary,"Like all of the content on peterjamesthomas.com, The Data & Analytics Dictionary is free. However, it does take time and effort to write. If you have found The Dirctionary useful or informative, you might consider helping to maintain and extend it by making a small contribution to defray our costs. Pay as much or as little as you want. Of course this is entirely optional.",Analytics,None
